painting,paintingLabel,height,width,creationYear,countryLabel,materialLabel,authorLabel
http://www.wikidata.org/entity/Q2610936,Юноша с корзиной фруктов,70,67,1594,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2622172,Семья Беллелли (Семейный портрет),200,253,1858,Франция,масляные краски,Эдгар Дега
http://www.wikidata.org/entity/Q2622172,Семья Беллелли (Семейный портрет),200,253,1900,Франция,масляные краски,Эдгар Дега
http://www.wikidata.org/entity/Q2741537,Поклонение пастухов,97,245,1480,Германия,дубовая панель,Хуго ван дер Гус
http://www.wikidata.org/entity/Q2665840,Пьета,352,349,1575,Италия,холст,"Пальма, Якопо (Младший)"
http://www.wikidata.org/entity/Q2734111,"Portrait of Maffeo Barberini, later Pope Urban VIII",124,90,1598,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2622172,Семья Беллелли (Семейный портрет),200,253,1858,Франция,холст,Эдгар Дега
http://www.wikidata.org/entity/Q2622172,Семья Беллелли (Семейный портрет),200,253,1900,Франция,холст,Эдгар Дега
http://www.wikidata.org/entity/Q2734111,"Portrait of Maffeo Barberini, later Pope Urban VIII",124,90,1598,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q2713203,Мадонна ди Лорето,260,150,1605,Италия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q2713203,Мадонна ди Лорето,260,150,1605,Италия,холст,Караваджо
http://www.wikidata.org/entity/Q1122842,Сорока на виселице,45.9,50.8,1568,Германия,масляные краски,Питер Брейгель Старший
http://www.wikidata.org/entity/Q1124192,The Legend of the King's Sons,84.5,196,1523,Германия,масляные краски,Франческо Баккьякка
http://www.wikidata.org/entity/Q1114856,Madonna del Padiglione,65,65,1490,Италия,панель,Сандро Боттичелли
http://www.wikidata.org/entity/Q1122842,Сорока на виселице,45.9,50.8,1568,Германия,панель,Питер Брейгель Старший
http://www.wikidata.org/entity/Q1124192,The Legend of the King's Sons,84.5,196,1523,Германия,панель,Франческо Баккьякка
http://www.wikidata.org/entity/Q1118456,Качели,92,73,1876,Франция,масляные краски,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q1114856,Madonna del Padiglione,65,65,1490,Италия,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q1118456,Качели,92,73,1876,Франция,холст,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q1115613,Мадонна на лугу,67.3,86.4,1500,Великобритания,transferred on canvas,Джованни Беллини
http://www.wikidata.org/entity/Q1125200,Madonna and Child with Angels,85.7,50.8,1410,США,золото,Джентиле да Фабриано
http://www.wikidata.org/entity/Q1119008,Алтарь Азоло,175,162,1506,Италия,картон,Лоренцо Лотто
http://www.wikidata.org/entity/Q1125200,Madonna and Child with Angels,85.7,50.8,1410,США,панель,Джентиле да Фабриано
http://www.wikidata.org/entity/Q1025704,Ночная терраса кафе,80.7,65.3,1888,Франция,масляные краски,Винсент Ван Гог
http://www.wikidata.org/entity/Q1125200,Madonna and Child with Angels,85.7,50.8,1410,США,темпера,Джентиле да Фабриано
http://www.wikidata.org/entity/Q1119008,Алтарь Азоло,175,162,1506,Италия,масляные краски,Лоренцо Лотто
http://www.wikidata.org/entity/Q1025704,Ночная терраса кафе,80.7,65.3,1888,Франция,холст,Винсент Ван Гог
http://www.wikidata.org/entity/Q1115423,Оплакивание Христа,106,71,1490,Италия,панель,Сандро Боттичелли
http://www.wikidata.org/entity/Q1115423,Оплакивание Христа,106,71,1495,Италия,панель,Сандро Боттичелли
http://www.wikidata.org/entity/Q1115423,Оплакивание Христа,106,71,1490,Италия,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q1115423,Оплакивание Христа,106,71,1495,Италия,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q1115423,Оплакивание Христа,106,71,1490,Италия,штукатурка,Сандро Боттичелли
http://www.wikidata.org/entity/Q1115423,Оплакивание Христа,106,71,1495,Италия,штукатурка,Сандро Боттичелли
http://www.wikidata.org/entity/Q1115413,История Виргинии,83.3,165.5,1505,Италия,панель,Сандро Боттичелли
http://www.wikidata.org/entity/Q1112111,Portrait of a Young Fürleger with Loose Hair,56,43,1497,Германия,акварельная краска,Альбрехт Дюрер
http://www.wikidata.org/entity/Q1115413,История Виргинии,83.3,165.5,1505,Италия,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q1111394,Блудный сын в таверне,161,131,1635,Германия,масляные краски,Рембрандт
http://www.wikidata.org/entity/Q1110146,Adoration of the Shepherds with the Saints Nazario and Celso,380,320,1540,Италия,масляные краски,Моретто да Брешиа
http://www.wikidata.org/entity/Q1121644,Roman carts,21,31,1873,Италия,темпера,Джованни Фаттори
http://www.wikidata.org/entity/Q1121644,Roman carts,21,31,1873,Италия,холст,Джованни Фаттори
http://www.wikidata.org/entity/Q1111394,Блудный сын в таверне,161,131,1635,Германия,холст,Рембрандт
http://www.wikidata.org/entity/Q1110146,Adoration of the Shepherds with the Saints Nazario and Celso,380,320,1540,Италия,холст,Моретто да Брешиа
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,283,1484,Франция,fresco,Сандро Боттичелли
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,284,1484,Франция,fresco,Сандро Боттичелли
http://www.wikidata.org/entity/Q1090837,Купальщики в Аньере,201,301.5,1884,Великобритания,масляные краски,Жорж-Пьер Сёра
http://www.wikidata.org/entity/Q1090837,Купальщики в Аньере,201,301.5,1884,Великобритания,холст,Жорж-Пьер Сёра
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,283,1484,Франция,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,283,1484,Франция,штукатурка,Сандро Боттичелли
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,284,1484,Франция,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,284,1484,Франция,штукатурка,Сандро Боттичелли
http://www.wikidata.org/entity/Q1029173,Battle of the Amazons,405,693,1870,Германия,масляные краски,Ансельм Фейербах
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,283,1484,Италия,intonaco,Сандро Боттичелли
http://www.wikidata.org/entity/Q1114718,Танец в деревне,1800,900,1883,Франция,масляные краски,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q1114881,Venus and the Three Graces Presenting Gifts to Giovanna degli Albizzi,211,284,1484,Италия,intonaco,Сандро Боттичелли
http://www.wikidata.org/entity/Q1109340,Аллегория силы,167,87,1470,Италия,панель,Сандро Боттичелли
http://www.wikidata.org/entity/Q1065493,Офелия,111.8,76.2,1851,Великобритания,масляные краски,Джон Эверетт Милле
http://www.wikidata.org/entity/Q1029173,Battle of the Amazons,405,693,1870,Германия,холст,Ансельм Фейербах
http://www.wikidata.org/entity/Q1109340,Аллегория силы,167,87,1470,Италия,темпера,Сандро Боттичелли
http://www.wikidata.org/entity/Q1114718,Танец в деревне,1800,900,1883,Франция,холст,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q1109340,Аллегория силы,167,87,1470,Италия,штукатурка,Сандро Боттичелли
http://www.wikidata.org/entity/Q1065493,Офелия,111.8,76.2,1851,Великобритания,холст,Джон Эверетт Милле
http://www.wikidata.org/entity/Q1114571,Зонтики,180.3,114.9,1881,Великобритания,масляные краски,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q1114571,Зонтики,180.3,114.9,1881,Великобритания,холст,Пьер Огюст Ренуар
http://www.wikidata.org/entity/Q1109475,Visitation of Carmignano,202,156,1528,Италия,картон,Понтормо
http://www.wikidata.org/entity/Q1091086,Третье мая 1808 года в Мадриде,268,347,1814,Испания,масляные краски,Франсиско Гойя
http://www.wikidata.org/entity/Q1109475,Visitation of Carmignano,202,156,1528,Италия,масляные краски,Понтормо
http://www.wikidata.org/entity/Q1091086,Третье мая 1808 года в Мадриде,268,347,1814,Испания,холст,Франсиско Гойя
http://www.wikidata.org/entity/Q1122842,Сорока на виселице,46,51,1568,Германия,масляные краски,Питер Брейгель Старший
http://www.wikidata.org/entity/Q1122842,Сорока на виселице,46,51,1568,Германия,панель,Питер Брейгель Старший
http://www.wikidata.org/entity/Q1122002,Altarpiece of St. Vincent Ferrer,275,31,1500,Италия,панель,Джованни Беллини
http://www.wikidata.org/entity/Q1122842,Сорока на виселице,46,50.8,1568,Германия,масляные краски,Питер Брейгель Старший
http://www.wikidata.org/entity/Q1114823,Святой Августин в келье,41,27,1490,Италия,панель,Сандро Боттичелли
http://www.wikidata.org/entity/Q1117094,Терновый венец,1270,1655,1602,Австрия,масляные краски,Караваджо
http://www.wikidata.org/entity/Q1122842,Сорока на виселице,46,50.8,1568,Германия,панель,Питер Брейгель Старший
http://www.wikidata.org/entity/Q1122002,Altarpiece of St. Vincent Ferrer,275,31,1500,Италия,темпера,Джованни Беллини
http://www.wikidata.org/entity/Q1114823,Святой Августин в келье,41,27,1490,Италия,темпера,Сандро Боттичелли
